"FB_ID","Ingredient_ID","Weight"
21417100,2047,0.8
21420100,13840,80.0
21420100,4001,5.0
21420100,14411,15.0
21420100,2047,0.8
21500000,23567,100.0
21500000,2047,0.8
21500100,23578,40.0
21500100,23573,30.0
21500100,23568,15.0
21500100,23563,15.0
21500100,2047,0.8
21500310,23578,50.0
21500310,23573,50.0
21500310,2047,0.8
21601000,13345,100.0
21601010,43378,100.0
21602000,13350,100.0
21602010,13350,113.4
21602010,4002,12.0
21602100,19002,100.0
21701010,3002,100.0
22000100,22101000,70.0
22000100,22400100,15.0
22000100,22201100,15.0
22002000,10978,100.0
22002000,2047,0.8
22002050,10081,99.0
22002050,82101000,1.0
22002050,2047,1.0
22002800,10081,100.0
22002800,19335,7.0
22002800,2047,3.2
22101000,22101020,50.0
22101000,22101010,50.0
22101010,10950,30.0
22101010,10064,70.0
22101010,2047,0.6
22101020,10947,30.0
22101020,10068,70.0
22101020,2047,0.6
22101300,22101020,44.0
22101300,22101010,44.0
22101300,18079,10.0
22101300,82101000,2.0
22101310,10950,26.0
22101310,10064,62.0
22101310,2047,0.6
22101310,18079,10.0
22101310,82101000,2.0
22101320,10947,26.0
22101320,10068,62.0
22101320,2047,0.6
22101320,18079,10.0
22101320,82101000,2.0
22101330,22101010,180.0
22101330,18085,100.0
22201100,22201120,50.0
22201100,22201110,50.0
22201110,10954,30.0
22201110,10081,70.0
22201110,2047,0.6
22201120,10945,30.0
22201120,10085,70.0
22201120,2047,0.6
22201400,22201100,88.0
22201400,18079,10.0
22201400,82101000,2.0
22210300,10943,30.0
22210300,10061,70.0
22210300,2047,0.6
22311000,10879,50.0
22311000,10883,25.0
22311000,7129,25.0
22311450,10141,100.0
22311500,10185,100.0
22321110,10185,100.0
22400100,10069,50.0
22400100,10065,50.0
22400100,2047,0.8
22431000,7908,100.0
22431000,4615,2.5
22501010,10998,100.0
22600100,10862,50.0
22600100,10896,50.0
22600110,7974,100.0
22600200,10862,50.0
22600200,10896,50.0
22600210,43378,100.0
22601000,10862,100.0
22601040,10862,100.0
22602010,43378,100.0
22621100,10007,40.0
22621100,4002,60.0
22621100,2047,5.5
